offer,countstrip,genres,productImage,booktitle,author,actualprice,initialprice
45%,1,Romantic,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/368/9781501110368.jpg,It Ends with Us,Colleen Hoover,Rs.274,Rs.499
,2,Routine,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/420/9788131939420.jpg,Times Table - Thick Laminated Preschool Chart,Pegasus Team,Rs.190,
31%,3,Routine,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/831/9781847941831.jpg,Atomic Habits,James Clear,Rs.551,Rs.799
45%,4,Fiction,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/179/9781398518179.jpg,It Starts with Us,Colleen Hoover,Rs.384,Rs.699
26%,5,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/268/9789390166268.jpg,The Psychology of Money,Morgan Housel,Rs.295,Rs.399
29%,6,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/895/9781786330895.jpg,Ikigai,Francesc Miralles,Rs.391,Rs.550
40%,7,Spiritual,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/185/9789385986185.jpg,Bhagavad Gita: Yatharoop,A.C. Bhaktivedanta Swami Prabhupada,Rs.179,Rs.299
31%,8,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/266/9789387779266.jpg,My First Library: Boxset of 10 Board Books for Kids,Wonder House Books Editorial,Rs.518,Rs.750
20%,9,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/194/9781612680194.jpg,Rich Dad Poor Dad,Robert T Kiyosaki,Rs.598,Rs.747
,10,Routine,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/294/9789391924294.jpg,Brain Activity Book for Kids - 200+ Activities for Age 3+,Maple Press,Rs.144,
26%,11,Fiction,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/357/9789354600357.jpg,Indian Polity For Civil Services and Other State Examinations| 6th Revised Edition,"Laxmikanth, M",Rs.736,Rs.995
40%,12,Fiction,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/350/9780143444350.jpg,Bihar Diaries,AMIT LODHA,Rs.179,Rs.299
40%,13,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/295/9780143442295.jpg,Life's Amazing Secrets: How to Find Balance and Purpose in your life,Gaur Gopal Das,Rs.150,Rs.250
31%,14,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/015/9789389432015.jpg,Worldâ€™s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,"Dale Carnegie, Napoleon Hill, Dr. Joseph Murphy & George S. Clason",Rs.482,Rs.699
40%,15,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/846/9789389931846.jpg,You Can,George Matthew Adams,Rs.90,Rs.150
10%,16,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/788/9789391191788.jpg,"MTG Objective NCERT at your FINGERTIPS - Biology, Best NEET Books (Based on NCERT Pattern - Latest & Revised Edition 2022)",MTG Editorial Board,Rs.810,Rs.900
40%,17,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/310/9789387779310.jpg,My First Book of Patterns Pencil Control; Pattern Practice Book for Kids,Wonder House Books Editorial,Rs.83,Rs.139
35%,18,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/540/9780062641540.jpg,Subtle Art Of Not Giving A F*ck,Mark Manson,Rs.358,Rs.550
,19,Routine,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/839/9788194790839.jpg,The Power of Your Subconscious Mind,Joseph Murphy,Rs.153,
35%,20,Fiction,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/482/9789391165482.jpg,DO EPIC SHIT,Ankur Warikoo,Rs.293,Rs.450
40%,21,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/704/9789354400704.jpg,Your Time Will Come,Saranya Umakanthan,Rs.119,Rs.199
40%,22,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/563/9789387779563.jpg,My First 4 In 1 Alphabet Numbers Colours Shapes: Padded Board Books,Wonder House Books,Rs.179,Rs.299
40%,23,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/837/9789390391837.jpg,"Fruits - My First Early Learning Wall Chart: For Preschool, Kindergarten, Nursery And Homeschooling (19 Inches X 29 Inches)",Wonder House Books,Rs.105,Rs.175
40%,24,Fiction,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/623/9780143333623.jpg,Grandma's Bag of Stories,Sudha Murty,Rs.150,Rs.250
40%,25,Routine,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/126/9780143452126.jpg,"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things","Foroux, Darius",Rs.119,Rs.199
2%,26,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/547/9789384761547.jpg,General Knowledge,Lucent Publication,Rs.309,Rs.315
,27,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/271/9789351525271.jpg,Atlas of Vascular & Endovascular Surgical Techniques,M Ashraf Mansour,"Rs.24,587",
36%,28,Life,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/219/9788186775219.jpg,Rich Dad Poor Dad,,Rs.319,Rs.499
,29,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/397/9789355951397.jpg,Oswaal CBSE Chapterwise & Topicwise Question Bank Class 10 Science Book (For 2022-23 Exam),Oswaal Editorial Board,Rs.673,
35%,30,Fiction,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/772/9781408856772.jpg,Harry Potter Box Set: The Complete Collection Children's Paperback,J.K.Rowling,"Rs.2,828","Rs.4,350"
,31,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/611/9788195261611.jpg,Price Action Trading : Technical Analysis Simplified!,Sunil Gurjar (Chartmojo),Rs.380,
15%,32,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/144/9789352530144.jpg,High School English Grammar & Composition,,Rs.468,Rs.550
,33,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/160/9789350332160.jpg,"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",Maple Press,Rs.148,
32%,34,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/886/9789388369886.jpg,My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,"Rs.1,019","Rs.1,499"
,35,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/881/9788131938881.jpg,Fruits - Educational Chart,Pegasus Team,Rs.176,
40%,36,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/701/9789326190701.jpg,General Knowledge 2023,Manohar Pandey,Rs.21,Rs.35
40%,37,Romantic,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/980/9788172234980.jpg,Alchemist,Paulo Coelho,Rs.150,Rs.250
17%,38,Education,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/029/9789352534029.jpg,Quantitative Aptitude for Competitive Examinations,R S Aggarwal,Rs.622,Rs.749
30%,39,Romantic,https://d2g9wbak88g7ch.cloudfront.net/productimages/images200/088/9780099590088.jpg,Sapiens,Yuval Noah Harari,Rs.419,Rs.599
